10/14/2017 15:37, Football, Charlton Athletic / Doncaster Rovers, English League 1, Handicap,0,1.95,1.95,1, bet888vip,48,338.5,0,1, BET_SUCCESS,0
10/14/2017 15:37, Football, Charlton Athletic / Doncaster Rovers, English League 1, Handicap,0,2.37,2.37,0, 18bet,40,791.75,0,6, BET_SUCCESS,0
10/14/2017 15:38, Tennis, Eleonora Molinaro / Yanina Wickmayer, WTA - BGL BNP Paribas Luxembourg, Over/Under,22.5,6.15,6.15,0, 1xbetchina,35,0.162601626,0,35, BET_SUCCESS,1
10/14/2017 15:38, Tennis, Eleonora Molinaro / Yanina Wickmayer, WTA - BGL BNP Paribas Luxembourg, Over/Under,22.5,1.12,1.12,1, 18bet,192,0.892857143,0,2, BET_SUCCESS,0
10/14/2017 15:38, Tennis, Anna-Lena Friedsam / Barbara Haas, WTA - BGL BNP Paribas Luxembourg, Over/Under,25.5,1.69,1.69,1, 18bet,56,543.75,0,3, BET_SUCCESS,0
10/14/2017 15:38, Tennis, Anna-Lena Friedsam / Barbara Haas, WTA - BGL BNP Paribas Luxembourg, Over/Under,25.5,4.8,4.8,0, 1xbetchina,20,1589.69,0,12, BET_SUCCESS,0
10/14/2017 15:45, Football, Hapoel Haifa / Hapoel Acre, Israel Premier League, Over/Under,3.5,2.08,2.08,1, bet888vip,48,290.5,0,1, BET_SUCCESS,0
10/14/2017 15:45, Football, Hapoel Haifa / Hapoel Acre, Israel Premier League, Over/Under,3.5,2.07,2.07,0, 1xbetchina,48,1541.69,0,11, BET_SUCCESS,0
10/14/2017 15:52, Tennis, Magdalena Rybarikova (SVK) / Viktorija Golubic (SUI), WTA Linz Ladies, Over/Under,21.5,1.88,1.88,0, 1xbetchina,52,1489.69,0,10, BET_SUCCESS,0
10/14/2017 16:03, Tennis, Magdalena Rybarikova (SVK) / Viktorija Golubic (SUI), WTA Linz Ladies, Over/Under,21.5,1.83,1.83,1, 18bet,53,780.55,0,2, BET_SUCCESS,0
10/14/2017 15:54, Tennis, Matteo Donati / Lorenzo Sonego, ATP Challenger - Ortisei, Handicap,2.5,3.51,3.51,1, 18bet,30,761.75,0,5, BET_SUCCESS,0
10/14/2017 15:54, Tennis, Matteo Donati / Lorenzo Sonego, ATP Challenger - Ortisei, Handicap,2.5,1.36,1.32,0, babibet,79,723.26,0,6, BET_SUCCESS,0
10/14/2017 16:01, Tennis, Alisa Kleybanova / Vitalia Diatchenko, WTA - Moscow Open, Over/Under,17.5,2.07,2.07,1, 1xbetchina,48,1441.69,0,10, BET_SUCCESS,0
10/14/2017 16:01, Tennis, Alisa Kleybanova / Vitalia Diatchenko, WTA - Moscow Open, Over/Under,17.5,2.23,1.86,0, 18bet,53,833.55,0,9, BET_SUCCESS,0
10/14/2017 16:05, Tennis, Basak Eraydin / Ivana Jorovic, WTA - Moscow Open, Over/Under,27.5,1.89,1.89,0, 1xbetchina,53,0.529100529,0,11, BET_SUCCESS,0
10/14/2017 16:06, Tennis, Basak Eraydin / Ivana Jorovic, WTA - Moscow Open, Over/Under,27.5,2.52,1.68,1, 18bet,59,0.396825397,0,4, BET_SUCCESS,0
10/14/2017 16:07, Football, Gazisehir Gaziantep / Giresunspor, Turkey TFF First League, Handicap,0,2.2,2.2,0, bet888vip,45,0.454545455,0,1, BET_SUCCESS,0
10/14/2017 16:07, Football, Gazisehir Gaziantep / Giresunspor, Turkey TFF First League, Handicap,0,2.14,2.14,1, 1xbetchina,46,0.46728972,0,15, BET_SUCCESS,0
10/14/2017 16:11, Football, Chrobry Glogow / Wigry Suwalki, Poland 1 Liga, Over/Under,2.5,3.29,3.29,1, 18bet,30,0.303951368,0,6, BET_SUCCESS,0
10/14/2017 16:15, Tennis, Stephan Fransen / Pedja Krstin, ITF Nigeria, Handicap,7.5,2,2,0, 1xbetchina,47,0.5,0,10, BET_SUCCESS,0
10/14/2017 16:15, Tennis, Stephan Fransen / Pedja Krstin, ITF Nigeria, Handicap,7.5,1.53,1.53,1, 18bet,61,0.653594771,0,8, BET_SUCCESS,0
10/14/2017 16:18, Tennis, Kaia Kanepi / Olga Ianchuk, WTA. Moscow. Qualification, Over/Under,16.5,1.86,1.86,1, 18bet,53,0.537634409,0,5, BET_SUCCESS,0
10/14/2017 16:20, Tennis, Kaia Kanepi / Olga Ianchuk, WTA. Moscow. Qualification, Over/Under,16.5,1.87,1.87,0, 1xbetchina,55,0.534759358,0,10, BET_SUCCESS,0
10/14/2017 16:19, Football, Imbabura SC  / Olmedo Rioramba, Ecuador Primera B, Handicap,0,4.54,4.54,1, 1xbetchina,20,0.220264317,0,11, BET_SUCCESS,0
10/14/2017 16:20, Football, Imbabura SC  / Olmedo Rioramba, Ecuador Primera B, Handicap,0,1.82,1.82,0, babibet,49,0.549450549,0,9, BET_SUCCESS,0
10/14/2017 16:21, Football, Floriana FC / Balzan FC, Malta Premier League, Handicap,0,2.11,2.11,1, 18bet,50,0.473933649,0,7, BET_SUCCESS,0
10/14/2017 16:21, Football, Floriana FC / Balzan FC, Malta Premier League, Handicap,0,1.75,1.75,0, 1xbetchina,60,0.571428571,0,13, BET_SUCCESS,0
