2017-10-14 16:23:46, Football, Maccabi Petah Tikva / Maccabi Haifa, Israel Premier League, Handicap, -0.00, 2.65, 2.65, 0, 18bet, 41, 647.55, 0, 8, BET_ODD_REMOVED, 1
2017-10-14 16:23:49, Football, Maccabi Petah Tikva / Maccabi Haifa, Israel Premier League, Handicap, -0.00, 3.64, 3.64, 1, 1xbetchina, 30, 1230.05, 0, 10, BET_SUCCESS, 0
2017-10-14 16:24:03, Football, Maccabi Petah Tikva / Maccabi Haifa, Israel Premier League, Handicap, -0.00, 2.65, 2.65, 0, babibet, 41, 781.70, 0, 8, BET_ODD_REMOVED, 0
2017-10-14 16:26:35, Football, SK Sigma Olomouc / FK Jablonec, Czech Republic First League, Over/Under, 1.00, 1.69, 1.69, 1, bet888vip, 57, 233.50, 0, 2, BET_SUCCESS, 0
2017-10-14 16:26:42, Football, SK Sigma Olomouc / FK Jablonec, Czech Republic First League, Over/Under, 1.00, 2.84, 2.80, 0, 18bet, 35, 709.54, 0, 9, BET_SUCCESS, 0
2017-10-14 16:27:03, Football, GKS Tychy / Puszcza Niepolomice, Poland 1 Liga, Over/Under, 0.50, 2.15, 2.15, 1, bet888vip, 45, 233.50, 0, 4, BET_FAIL, 2
2017-10-14 16:27:05, Football, GKS Tychy / Puszcza Niepolomice, Poland 1 Liga, Over/Under, 0.50, 2.08, 2.07, 0, 18bet, 46, 663.54, 0, 5, BET_SUCCESS, 0
2017-10-14 16:27:10, Football, GKS Tychy / Puszcza Niepolomice, Poland 1 Liga, Over/Under, 0.50, 2.15, 2.15, 1, bet888vip, 44, 233.50, 0, 3, BET_FAIL, 2
2017-10-14 16:27:16, Football, GKS Tychy / Puszcza Niepolomice, Poland 1 Liga, Over/Under, 0.50, 2.15, 2.15, 1, bet888vip, 44, 233.50, 0, 5, BET_FAIL, 2
2017-10-14 16:27:22, Football, GKS Tychy / Puszcza Niepolomice, Poland 1 Liga, Over/Under, 0.50, 2.15, 2.15, 1, bet888vip, 44, 233.50, 0, 5, BET_FAIL, 2
2017-10-14 16:27:26, Football, GKS Tychy / Puszcza Niepolomice, Poland 1 Liga, Over/Under, 0.50, 2.15, 2.15, 1, bet888vip, 44, 233.50, 0, 4, BET_FAIL, 2
2017-10-14 16:27:33, Football, GKS Tychy / Puszcza Niepolomice, Poland 1 Liga, Over/Under, 0.50, 2.15, 2.15, 1, bet888vip, 44, 233.50, 0, 6, BET_FAIL, 2
2017-10-14 16:27:41, Football, GKS Tychy / Puszcza Niepolomice, Poland 1 Liga, Over/Under, 0.50, 2.15, 2.15, 1, bet888vip, 44, 233.50, 0, 7, BET_FAIL, 2
2017-10-14 16:27:47, Football, GKS Tychy / Puszcza Niepolomice, Poland 1 Liga, Over/Under, 0.50, 2.15, 2.15, 1, bet888vip, 44, 233.50, 0, 5, BET_FAIL, 2
2017-10-14 16:27:53, Football, GKS Tychy / Puszcza Niepolomice, Poland 1 Liga, Over/Under, 0.50, 2.15, 2.15, 1, bet888vip, 44, 233.50, 0, 5, BET_FAIL, 2
2017-10-14 16:27:58, Football, GKS Tychy / Puszcza Niepolomice, Poland 1 Liga, Over/Under, 0.50, 2.15, 2.15, 1, bet888vip, 44, 233.50, 0, 4, BET_FAIL, 2
2017-10-14 16:28:03, Football, GKS Tychy / Puszcza Niepolomice, Poland 1 Liga, Over/Under, 0.50, 2.15, 2.15, 1, bet888vip, 44, 233.50, 0, 5, BET_FAIL, 2
2017-10-14 16:28:08, Football, GKS Tychy / Puszcza Niepolomice, Poland 1 Liga, Over/Under, 0.50, 2.15, 2.15, 1, bet888vip, 44, 233.50, 0, 4, BET_FAIL, 2
2017-10-14 16:28:11, Football, GKS Tychy / Puszcza Niepolomice, Poland 1 Liga, Over/Under, 0.50, 1.80, 2.15, 1, bet888vip, 44, 233.50, 0, 2, BET_VALUE_DECREASED, 0
