2017-10-19 12:17:51, Football, Sioni Bolnisi / Merani Martvili, Georgia. Meore Liga, Over/Under, 0.50, 1.52, 2.46, 0, 1xbetchina, 39, 480.34, 0, 4, BET_VALUE_DECREASED1, 2
2017-10-19 12:17:56, Football, Sioni Bolnisi / Merani Martvili, Georgia. Meore Liga, Over/Under, 0.50, 1.52, 2.46, 0, 1xbetchina, 39, 480.34, 0, 5, BET_VALUE_DECREASED1, 2
2017-10-19 12:18:01, Football, Sioni Bolnisi / Merani Martvili, Georgia. Meore Liga, Over/Under, 0.50, 1.52, 2.46, 0, 1xbetchina, 39, 480.34, 0, 4, BET_VALUE_DECREASED1, 2
2017-10-19 12:18:06, Football, Sioni Bolnisi / Merani Martvili, Georgia. Meore Liga, Over/Under, 0.50, 1.53, 2.46, 0, 1xbetchina, 39, 480.34, 0, 5, BET_VALUE_DECREASED1, 2
2017-10-19 12:18:09, Football, Sioni Bolnisi / Merani Martvili, Georgia. Meore Liga, Over/Under, 0.50, 2.45, 2.46, 0, 1xbetchina, 39, 480.34, 0, 2, BET_VALUE_DECREASED, 1
2017-10-19 12:18:14, Football, Sioni Bolnisi / Merani Martvili, Georgia. Meore Liga, Over/Under, 0.50, 1.53, 2.45, 0, 1xbetchina, 40, 480.34, 0, 3, BET_VALUE_DECREASED1, 2
2017-10-19 12:18:18, Football, Sioni Bolnisi / Merani Martvili, Georgia. Meore Liga, Over/Under, 0.50, 1.53, 2.45, 0, 1xbetchina, 40, 480.34, 0, 3, BET_VALUE_DECREASED1, 2
2017-10-19 12:18:28, Football, Sioni Bolnisi / Merani Martvili, Georgia. Meore Liga, Over/Under, 0.50, 1.53, 2.45, 0, 1xbetchina, 40, 680.97, 0, 8, BET_VALUE_DECREASED1, 2
2017-10-19 12:18:33, Football, Sioni Bolnisi / Merani Martvili, Georgia. Meore Liga, Over/Under, 0.50, 2.43, 2.45, 0, 1xbetchina, 40, 680.97, 0, 4, BET_VALUE_DECREASED, 1
2017-10-19 12:18:37, Football, Sioni Bolnisi / Merani Martvili, Georgia. Meore Liga, Over/Under, 0.50, 1.53, 2.43, 0, 1xbetchina, 40, 680.97, 0, 3, BET_VALUE_DECREASED1, 2
2017-10-19 12:18:43, Football, Sioni Bolnisi / Merani Martvili, Georgia. Meore Liga, Over/Under, 0.50, 1.53, 2.43, 0, 1xbetchina, 40, 680.97, 0, 4, BET_VALUE_DECREASED1, 2
2017-10-19 12:18:47, Football, Sioni Bolnisi / Merani Martvili, Georgia. Meore Liga, Over/Under, 0.50, 1.53, 2.43, 0, 1xbetchina, 40, 680.97, 0, 3, BET_VALUE_DECREASED1, 2
2017-10-19 12:18:54, Football, Sioni Bolnisi / Merani Martvili, Georgia. Meore Liga, Over/Under, 0.50, 1.53, 2.43, 0, 1xbetchina, 40, 680.97, 0, 6, BET_VALUE_DECREASED1, 2
2017-10-19 12:18:59, Football, Sioni Bolnisi / Merani Martvili, Georgia. Meore Liga, Over/Under, 0.50, 1.53, 2.43, 0, 1xbetchina, 40, 680.97, 0, 4, BET_VALUE_DECREASED1, 2
2017-10-19 12:19:05, Football, Sioni Bolnisi / Merani Martvili, Georgia. Meore Liga, Over/Under, 0.50, 1.53, 2.43, 0, 1xbetchina, 40, 680.97, 0, 5, BET_VALUE_DECREASED1, 2
2017-10-19 12:19:11, Football, Sioni Bolnisi / Merani Martvili, Georgia. Meore Liga, Over/Under, 0.50, 1.53, 2.43, 0, 1xbetchina, 40, 680.97, 0, 5, BET_VALUE_DECREASED1, 2
2017-10-19 12:19:16, Football, Sioni Bolnisi / Merani Martvili, Georgia. Meore Liga, Over/Under, 0.50, 1.53, 2.43, 0, 1xbetchina, 40, 680.97, 0, 4, BET_VALUE_DECREASED1, 2
2017-10-19 12:19:23, Football, Sioni Bolnisi / Merani Martvili, Georgia. Meore Liga, Over/Under, 0.50, 1.53, 2.43, 0, 1xbetchina, 40, 680.97, 0, 6, BET_VALUE_DECREASED1, 2
