2017-10-19 12:09:53, Football, Club Rubio Nu II / Club Olimpia II, Paraguay. Reserve League, Over/Under, 3.00, 1.99, 1.99, 0, 18bet, 53, 305.35, 0, 4, BET_SUCCESS, 0
2017-10-19 12:09:54, Football, Club Rubio Nu II / Club Olimpia II, Paraguay. Reserve League, Over/Under, 3.00, 2.12, 2.12, 1, 1xbetchina, 50, 775.34, 0, 4, BET_SUCCESS, 0
2017-10-19 12:10:01, Tennis, Gerard Granollers Pujol / Pietro Licciardi, ITF. Tunis. F31, Handicap, -4.50, 1.66, 2.25, 0, babibet, 45, 541.61, 0, 6, BET_VALUE_DECREASED1, 2
2017-10-19 12:10:01, Tennis, Gerard Granollers Pujol / Pietro Licciardi, ITF. Tunis. F31, Handicap, -4.50, 2.15, 2.15, 1, 1xbetchina, 47, 775.34, 0, 7, BET_UNABLE, 2
2017-10-19 12:10:09, Tennis, Gerard Granollers Pujol / Pietro Licciardi, ITF. Tunis. F31, Handicap, -4.50, 1.66, 2.25, 0, babibet, 45, 541.61, 0, 6, BET_VALUE_DECREASED, 1
2017-10-19 12:10:10, Tennis, Gerard Granollers Pujol / Pietro Licciardi, ITF. Tunis. F31, Handicap, -4.50, 2.15, 2.15, 1, 1xbetchina, 47, 775.34, 0, 8, BET_UNABLE, 2
2017-10-19 12:10:19, Football, Al-Fateh U20 / Al-Hilal Riyadh U20, Saudi Arabia. U20, Handicap, 1.00, 1.93, 1.93, 1, 18bet, 49, 305.35, 0, 0, BET_ODD_REMOVED, 0
2017-10-19 12:10:29, Football, Al-Fateh U20 / Al-Hilal Riyadh U20, Saudi Arabia. U20, Handicap, 1.00, 2.40, 2.40, 0, 1xbetchina, 40, 735.34, 0, 10, BET_SUCCESS, 0
2017-10-19 12:10:31, Football, Al-Fateh U20 / Al-Hilal Riyadh U20, Saudi Arabia. U20, Handicap, 1.00, 2.04, 2.04, 1, 18bet, 47, 305.35, 0, 0, BET_ODD_REMOVED, 0
2017-10-19 12:10:34, Football, Al-Fateh U20 / Al-Hilal Riyadh U20, Saudi Arabia. U20, Handicap, 1.00, 2.04, 2.04, 1, babibet, 47, 541.61, 0, 0, BET_ODD_REMOVED, 0
2017-10-19 12:10:48, Football, Al-Fateh U20 / Al-Hilal Riyadh U20, Saudi Arabia. U20, Handicap, 1.00, 2.04, 2.04, 1, babibet, 47, 541.61, 0, 8, BET_ODD_REMOVED, 0
2017-10-19 12:10:50, Football, Al-Fateh U20 / Al-Hilal Riyadh U20, Saudi Arabia. U20, Handicap, 1.00, 2.04, 2.04, 1, babibet, 47, 541.61, 0, 0, BET_ODD_REMOVED, 0
2017-10-19 12:10:59, Tennis, Gerard Granollers Pujol / Pietro Licciardi, ITF. Tunis. F31, Over/Under, 21.50, 1.72, 1.72, 1, babibet, 57, 484.61, 0, 7, BET_SUCCESS, 0
2017-10-19 12:11:02, Tennis, Gerard Granollers Pujol / Pietro Licciardi, ITF. Tunis. F31, Over/Under, 21.50, 2.82, 2.82, 0, 1xbetchina, 35, 700.34, 0, 11, BET_SUCCESS, 0
2017-10-19 12:11:07, Football, Samgurali Tskhaltubo / Meshakhte Tkibuli, Georgia. Meore Liga, Over/Under, 4.50, 1.97, 1.97, 0, babibet, 52, 489.61, 0, 3, BET_SUCCESS, 0
2017-10-19 12:11:12, Football, Samgurali Tskhaltubo / Meshakhte Tkibuli, Georgia. Meore Liga, Over/Under, 4.50, 2.08, 2.08, 1, 1xbetchina, 50, 650.34, 0, 9, BET_SUCCESS, 0
2017-10-19 12:11:17, Tennis, Riccardo Bonadio / Thiago Seyboth Wild, ITF. Turkey. F39, Handicap, 2.50, 2.10, 2.50, 0, babibet, 40, 489.61, 0, 4, BET_VALUE_DECREASED, 1
