2017-10-19 12:27:53, Tennis, Hyeon Chung / Kevin Anderson, ATP. Stockholm, Handicap, 4.50, 1.99, 2.08, 0, 18bet, 50, 453.79, 0, 2, BET_VALUE_DECREASED, 0
2017-10-19 12:27:57, Tennis, Hyeon Chung / Kevin Anderson, ATP. Stockholm, Handicap, 4.50, 1.78, 1.98, 1, babibet, 52, 204.61, 0, 5, BET_VALUE_DECREASED1, 2
2017-10-19 12:28:02, Football, Club Nacional II / Sol de America II, Paraguay. Reserve League, Over/Under, 2.00, 1.88, 1.88, 1, 1xbetchina, 52, 588.97, 0, 3, BET_SUCCESS, 0
2017-10-19 12:28:05, Football, Club Nacional II / Sol de America II, Paraguay. Reserve League, Over/Under, 2.00, 2.19, 2.19, 0, babibet, 45, 159.61, 0, 6, BET_SUCCESS, 0
2017-10-19 12:28:28, Tennis, Hyeon Chung / Kevin Anderson, ATP. Stockholm, Handicap, 4.50, 1.84, 1.99, 0, 18bet, 52, 453.79, 0, 4, BET_VALUE_DECREASED, 1
2017-10-19 12:28:31, Tennis, Hyeon Chung / Kevin Anderson, ATP. Stockholm, Handicap, 4.50, 2.09, 2.09, 1, 1xbetchina, 50, 588.97, 0, 6, BET_UNABLE, 2
2017-10-19 12:29:04, Football, Club Rubio Nu II / Club Olimpia II, Paraguay. Reserve League, Over/Under, 2.00, 2.28, 2.28, 1, 1xbetchina, 45, 543.97, 0, 7, BET_SUCCESS, 0
2017-10-19 12:29:12, Football, Club Rubio Nu II / Club Olimpia II, Paraguay. Reserve League, Over/Under, 2.00, 1.84, 1.83, 0, 18bet, 56, 397.79, 0, 16, BET_SUCCESS, 0
2017-10-19 12:29:23, Tennis, Johanna Larsson / Pauline Parmentier, WTA. Luxembourg, Over/Under, 15.50, 1.81, 2.15, 1, 18bet, 45, 397.79, 0, 9, BET_VALUE_DECREASED, 0
2017-10-19 12:29:29, Tennis, Johanna Larsson / Pauline Parmentier, WTA. Luxembourg, Over/Under, 15.50, 1.94, 1.94, 0, 1xbetchina, 49, 494.97, 0, 15, BET_SUCCESS, 0
2017-10-19 12:29:36, Tennis, Diego Sebastian Schwartzman / Ernesto Escobedo, ATP. Antwerp, Handicap, -3.50, 2.35, 2.34, 1, 18bet, 45, 352.79, 0, 6, BET_SUCCESS, 0
2017-10-19 12:29:45, Tennis, Diego Sebastian Schwartzman / Ernesto Escobedo, ATP. Antwerp, Handicap, -3.50, 1.78, 1.78, 0, 1xbetchina, 59, 435.97, 0, 14, BET_SUCCESS, 0
2017-10-19 12:30:16, Tennis, Lukas Klein / Patrik Nema, ITF. Germany. F15, Handicap, -2.50, 2.05, 2.05, 1, 1xbetchina, 50, 435.97, 0, 10, BET_ODD_REMOVED, 1
2017-10-19 12:30:24, Tennis, Lukas Klein / Patrik Nema, ITF. Germany. F15, Handicap, -2.50, 1.72, 2.00, 0, 18bet, 51, 397.79, 0, 17, BET_VALUE_DECREASED1, 2
2017-10-19 12:30:26, Football, Italy U19 (W) / Faroe Islands U19 (W), UEFA European U19 Championship. Women, Over/Under, 10.50, 1.75, 1.83, 1, 1xbetchina, 55, 435.97, 0, 0, BET_VALUE_DECREASED, 0
2017-10-19 12:30:31, Football, Italy U19 (W) / Faroe Islands U19 (W), UEFA European U19 Championship. Women, Over/Under, 10.50, 2.29, 2.26, 0, 18bet, 45, 352.79, 0, 5, BET_SUCCESS, 0
2017-10-19 12:31:36, Tennis, Matteo Donati / Pedro Martinez Portero, Challenger. Ismaning, Handicap, -6.50, 1.96, 2.22, 0, 18bet, 45, 352.79, 0, 8, BET_VALUE_DECREASED, 1
2017-10-19 12:31:38, Tennis, Matteo Donati / Pedro Martinez Portero, Challenger. Ismaning, Handicap, -6.50, 1.90, 1.90, 1, 1xbetchina, 52, 435.97, 0, 9, BET_UNABLE, 2
2017-10-19 12:31:40, Football, Al-Fateh U20 / Al-Hilal Riyadh U20, Saudi Crown Prince Cup U20, Over/Under, 2.50, 2.09, 2.09, 0, 18bet, 50, 352.79, 0, 0, BET_ODD_REMOVED, 0
2017-10-19 12:31:45, Football, Al-Fateh U20 / Al-Hilal Riyadh U20, Saudi Crown Prince Cup U20, Over/Under, 2.50, 1.96, 1.96, 1, 1xbetchina, 53, 382.97, 0, 5, BET_SUCCESS, 0
2017-10-19 12:31:47, Football, Al-Fateh U20 / Al-Hilal Riyadh U20, Saudi Crown Prince Cup U20, Over/Under, 2.50, 1.96, 2.09, 0, 18bet, 49, 352.79, 0, 0, BET_VALUE_DECREASED, 0
2017-10-19 12:31:49, Football, Al-Fateh U20 / Al-Hilal Riyadh U20, Saudi Crown Prince Cup U20, Over/Under, 2.50, 1.96, 2.09, 0, 18bet, 49, 352.79, 0, 0, BET_VALUE_DECREASED, 0
2017-10-19 12:31:53, Football, Al-Fateh U20 / Al-Hilal Riyadh U20, Saudi Crown Prince Cup U20, Over/Under, 2.50, 1.96, 2.09, 0, 18bet, 49, 352.79, 0, 1, BET_VALUE_DECREASED, 0
2017-10-19 12:31:56, Football, Al-Fateh U20 / Al-Hilal Riyadh U20, Saudi Crown Prince Cup U20, Over/Under, 2.50, 1.96, 2.09, 0, 18bet, 49, 352.79, 0, 0, BET_VALUE_DECREASED, 0
2017-10-19 12:31:59, Football, Al-Fateh U20 / Al-Hilal Riyadh U20, Saudi Crown Prince Cup U20, Over/Under, 2.50, 1.98, 2.09, 0, 18bet, 49, 352.79, 0, 0, BET_VALUE_DECREASED, 0
2017-10-19 12:32:01, Football, Al-Fateh U20 / Al-Hilal Riyadh U20, Saudi Crown Prince Cup U20, Over/Under, 2.50, 1.98, 2.09, 0, 18bet, 49, 352.79, 0, 0, BET_VALUE_DECREASED, 0
2017-10-19 12:32:04, Football, Al-Fateh U20 / Al-Hilal Riyadh U20, Saudi Crown Prince Cup U20, Over/Under, 2.50, 1.98, 2.09, 0, 18bet, 49, 352.79, 0, 0, BET_VALUE_DECREASED, 0
2017-10-19 12:32:08, Football, Al-Fateh U20 / Al-Hilal Riyadh U20, Saudi Crown Prince Cup U20, Over/Under, 2.50, 1.98, 2.09, 0, 18bet, 49, 352.79, 0, 0, BET_VALUE_DECREASED, 0
2017-10-19 12:32:20, Tennis, Matteo Donati / Pedro Martinez Portero, Challenger. Ismaning, Handicap, -6.50, 2.05, 2.05, 1, 1xbetchina, 50, 382.97, 0, 9, BET_UNABLE, 2
2017-10-19 12:32:21, Tennis, Matteo Donati / Pedro Martinez Portero, Challenger. Ismaning, Handicap, -6.50, 1.91, 2.03, 0, 18bet, 50, 352.79, 0, 9, BET_VALUE_DECREASED1, 2
2017-10-19 12:33:08, Football, Muhoroni Youth / Zoo Kericho, Kenya. Premier League, Over/Under, 2.50, 1.80, 1.80, 1, 1xbetchina, 52, 330.97, 0, 6, BET_SUCCESS, 0
2017-10-19 12:33:10, Football, Muhoroni Youth / Zoo Kericho, Kenya. Premier League, Over/Under, 2.50, 2.41, 2.36, 0, 18bet, 40, 357.79, 0, 8, BET_SUCCESS, 0
2017-10-19 12:33:29, Tennis, Matteo Donati / Pedro Martinez Portero, Challenger. Ismaning, Handicap, -6.50, 1.96, 2.05, 1, 1xbetchina, 50, 330.97, 0, 9, BET_VALUE_DECREASED, 1
2017-10-19 12:33:33, Tennis, Matteo Donati / Pedro Martinez Portero, Challenger. Ismaning, Handicap, -6.50, 1.96, 2.05, 0, 18bet, 50, 357.79, 0, 12, BET_VALUE_DECREASED1, 2
2017-10-19 12:33:50, Football, China (W) / North Korea (W), Friendlies. National Teams. Women, Over/Under, 2.00, 2.27, 2.27, 1, 1xbetchina, 45, 285.97, 0, 4, BET_SUCCESS, 0
2017-10-19 12:33:52, Football, China (W) / North Korea (W), Friendlies. National Teams. Women, Over/Under, 2.00, 1.80, 1.82, 0, 18bet, 56, 357.79, 0, 6, BET_VALUE_DECREASED1, 2
2017-10-19 12:34:03, Football, China (W) / North Korea (W), Friendlies. National Teams. Women, Over/Under, 2.00, 1.80, 1.82, 0, 18bet, 56, 357.79, 0, 9, BET_VALUE_DECREASED, 1
2017-10-19 12:34:13, Tennis, Irina-Camelia Begu / Vera Lapko, WTA. Moscow, Over/Under, 28.50, 1.53, 1.79, 1, 18bet, 54, 357.79, 0, 8, BET_VALUE_DECREASED, 1
2017-10-19 12:34:15, Tennis, Irina-Camelia Begu / Vera Lapko, WTA. Moscow, Over/Under, 28.50, 2.78, 2.78, 0, 1xbetchina, 35, 356.47, 0, 10, BET_SUCCESS, 0
2017-10-19 12:35:04, Tennis, Irina-Camelia Begu / Vera Lapko, WTA. Moscow, Over/Under, 28.50, 1.83, 1.83, 1, 18bet, 53, 304.79, 0, 3, BET_SUCCESS, 0
2017-10-19 12:35:15, Football, Sioni Bolnisi / Merani Martvili, Georgia. Meore Liga, Over/Under, 0.50, 2.13, 2.14, 0, 18bet, 50, 304.79, 0, 6, BET_VALUE_DECREASED, 1
2017-10-19 12:35:27, Football, Sioni Bolnisi / Merani Martvili, Georgia. Meore Liga, Over/Under, 0.50, 2.03, 2.03, 1, 1xbetchina, 52, 356.47, 0, 18, BET_VALUE_CHANGED, 4
2017-10-19 12:35:41, Football, Sioni Bolnisi / Merani Martvili, Georgia. Meore Liga, Over/Under, 0.50, 2.12, 2.11, 0, 18bet, 50, 254.79, 0, 13, BET_SUCCESS, 0
2017-10-19 12:36:02, Football, Sioni Bolnisi / Merani Martvili, Georgia. Meore Liga, Over/Under, 0.50, 2.03, 2.03, 1, 1xbetchina, 51, 356.47, 0, 30, BET_VALUE_CHANGED, 4
2017-10-19 12:39:39, Football, Sioni Bolnisi / Merani Martvili, Georgia. Meore Liga, Over/Under, 0.50, 2.04, 2.04, 1, 1xbetchina, 52, 356.47, 0, 212, BET_GAME_REMOVED, 3
2017-10-19 12:40:12, Football, China (W) / North Korea (W), Friendlies. National Teams. Women, Over/Under, 2.00, 1.94, 1.94, 0, babibet, 55, 213.61, 0, 31, BET_SUCCESS, 1
2017-10-19 12:40:34, Football, Albirex Niigata Singapore / Hougang United, Singapore. S-League, Over/Under, 1.50, 2.19, 2.32, 1, 1xbetchina, 45, 356.47, 0, 21, BET_VALUE_DECREASED, 1
2017-10-19 12:40:49, Football, Albirex Niigata Singapore / Hougang United, Singapore. S-League, Over/Under, 1.50, 1.88, 1.86, 0, 18bet, 56, 307.79, 0, 35, BET_GET_ODD_FAIL, 2
2017-10-19 12:41:06, Football, Albirex Niigata Singapore / Hougang United, Singapore. S-League, Over/Under, 1.50, 2.18, 2.19, 1, 1xbetchina, 45, 356.47, 0, 15, BET_VALUE_DECREASED, 1
2017-10-19 12:41:13, Football, Albirex Niigata Singapore / Hougang United, Singapore. S-League, Over/Under, 1.50, 1.92, 1.92, 0, babibet, 52, 161.61, 0, 22, BET_SUCCESS, 1
