2017-10-21 10:42:04, Football, UKP Zielona Gora U19 / Salos Szczecin U19, Poland Championship U19, Handicap, 0.00, 1.65, 3.36, 0, 1xbetchina, 30, 734.65, 0, 19, BET_SUCCESS, 2
2017-10-21 10:42:08, Football, UKP Zielona Gora U19 / Salos Szczecin U19, Poland Championship U19, Handicap, 0.00, 2.23, 2.23, 1, babibet, 45, 493.69, 0, 19, BET_VALUE_CHANGED, 4
2017-10-21 10:45:37, Basketball, Enisey / Nizhny Novgorod, VTB United League (Including Overtime), Over/Under, 184.50, 2.03, 2.03, 0, 1xbetchina, 35, 699.65, 0, 25, BET_SUCCESS, 2
2017-10-21 10:45:45, Basketball, Enisey / Nizhny Novgorod, VTB United League (Including Overtime), Over/Under, 184.50, 1.69, 1.69, 1, babibet, 52, 441.69, 0, 32, BET_SUCCESS, 2
2017-10-21 10:53:16, Football, AGF Aarhus U19 / Lyngby U19, Denmark Championship U19, Over/Under, 3.00, 1.57, 1.94, 1, 1xbetchina, 51, 799.10, 0, 49, BET_TIMEOUT, 4
2017-10-21 10:54:11, Football, AGF Aarhus U19 / Lyngby U19, Denmark Championship U19, Over/Under, 3.00, 2.36, 2.36, 0, babibet, 45, 396.69, 0, 104, BET_PARSE_FAIL, 4
2017-10-21 10:55:51, Tennis, Dusan Lajovic / Simone Bolelli, ATP. Vienna. Qualification, Handicap, 4.50, 1.40, 1.88, 1, babibet, 48, 396.69, 0, 29, BET_TIMEOUT, 2
2017-10-21 10:57:40, Tennis, Dusan Lajovic / Simone Bolelli, ATP. Vienna. Qualification, Handicap, 4.50, 3.07, 3.07, 0, 1xbetchina, 30, 739.10, 0, 149, BET_SUCCESS, 2
2017-10-21 10:58:31, Tennis, Darya Kasatkina / Julia Goerges, WTA. Moscow, Handicap, 7.50, 1.80, 1.80, 0, babibet, 56, 340.69, 0, 49, BET_SUCCESS, 2
2017-10-21 10:58:47, Tennis, Darya Kasatkina / Julia Goerges, WTA. Moscow, Handicap, 7.50, 2.19, 1.92, 1, 1xbetchina, 40, 739.10, 0, 65, BET_UNABLE, 2
2017-10-21 10:58:59, Football, Sillamae Kalev / Infonet, Estonia. Meistriliiga, Handicap, 1.50, 1.86, 2.25, 0, babibet, 45, 340.69, 0, 10, BET_SUCCESS, 2
2017-10-21 10:59:07, Football, Sillamae Kalev / Infonet, Estonia. Meistriliiga, Handicap, 1.50, 1.98, 1.98, 1, bet888vip, 51, 296.95, 0, 15, BET_ANALYZE_ERROR2, 2
2017-10-21 10:59:41, Tennis, Quentin Halys / Pierre-Hugues Herbert, ATP. Vienna. Qualification, Handicap, 5.50, 1.39, 1.39, 0, babibet, 25, 523.58, 0, 32, BET_SUCCESS, 2
