2017-10-21 14:14:40, Football, Scunthorpe United / Peterborough United, England. League One, Over/Under, 2.50, 2.04, 1.74, 1, bet888vip, 48, 503.19, 0, 33, BET_SUCCESS, 2
2017-10-21 14:29:31, Football, Scunthorpe United / Peterborough United, England. League One, Over/Under, 2.50, 2.13, 2.13, 0, 1xbetchina, 45, 843.15, 0, 925, BET_SUCCESS, 4
2017-10-21 14:30:51, Football, AFC Eskilstuna / Elfsborg, Sweden. Allsvenskan, Handicap, 0.00, 2.24, 2.24, 0, bet888vip, 45, 413.19, 0, 61, BET_SUCCESS, 2
2017-10-21 14:31:47, Football, AFC Eskilstuna / Elfsborg, Sweden. Allsvenskan, Handicap, 0.00, 1.68, 1.68, 1, 1xbetchina, 45, 798.15, 0, 118, BET_ANALYZE_ERROR6, 4
2017-10-21 14:32:34, Tennis, Monica Puig / Carina Witthoeft, WTA. Luxembourg, Over/Under, 20.50, 2.82, 2.82, 0, babibet, 35, 524.57, 0, 38, BET_PARSE_FAIL, 2
2017-10-21 14:32:41, Tennis, Monica Puig / Carina Witthoeft, WTA. Luxembourg, Over/Under, 20.50, 1.45, 1.45, 1, 1xbetchina, 49, 798.15, 0, 47, BET_UNABLE, 2
2017-10-21 14:33:33, Tennis, Monica Puig / Carina Witthoeft, WTA. Luxembourg, Handicap, 4.50, 1.74, 1.33, 1, 1xbetchina, 62, 798.15, 0, 50, BET_UNABLE, 2
2017-10-21 14:35:42, Tennis, Monica Puig / Carina Witthoeft, WTA. Luxembourg, Handicap, 4.50, 1.68, 1.71, 0, babibet, 30, 524.57, 0, 172, BET_PARSE_FAIL, 2
2017-10-21 14:36:30, Tennis, Monica Puig / Carina Witthoeft, WTA. Luxembourg, Over/Under, 21.50, 2.73, 2.29, 0, 1xbetchina, 45, 708.15, 0, 47, BET_SUCCESS, 2
2017-10-21 14:37:27, Tennis, Monica Puig / Carina Witthoeft, WTA. Luxembourg, Over/Under, 21.50, 1.47, 1.47, 1, babibet, 40, 524.57, 0, 96, BET_PARSE_FAIL, 2
2017-10-21 14:39:35, Tennis, Juan Potro / Fernando Verdasco, ATP. Stockholm, Over/Under, 32.50, 1.94, 1.94, 1, babibet, 45, 524.57, 0, 103, BET_PARSE_FAIL, 2
2017-10-21 14:39:36, Tennis, Juan Potro / Fernando Verdasco, ATP. Stockholm, Over/Under, 32.50, 2.09, 1.86, 0, 1xbetchina, 47, 567.15, 0, 114, BET_SUCCESS, 4
2017-10-21 14:41:00, Football, Ross County / Hamilton Academical, Scotland. Premier League, Over/Under, 1.50, 2.15, 2.44, 1, 1xbetchina, 40, 447.15, 0, 79, BET_SUCCESS, 4
2017-10-21 14:42:24, Football, Ross County / Hamilton Academical, Scotland. Premier League, Over/Under, 1.50, 1.97, 1.95, 0, babibet, 51, 524.57, 0, 154, BET_PARSE_FAIL, 2
2017-10-21 14:44:29, Football, Ross County / Hamilton Academical, Scotland. Premier League, Over/Under, 1.50, 2.02, 2.00, 0, bet888vip, 43, 327.19, 0, 122, BET_SUCCESS, 2
2017-10-21 14:47:38, Football, Blackpool / Wigan Athletic, England. League One, Handicap, 0.00, 1.21, 2.68, 1, 1xbetchina, 39, 447.15, 0, 79, BET_VALUE_CHANGED, 4
2017-10-21 14:47:47, Football, Blackpool / Wigan Athletic, England. League One, Handicap, 0.00, 4.45, 4.45, 0, babibet, 25, 524.57, 0, 85, BET_PARSE_FAIL, 2
2017-10-21 14:48:35, Football, Huddersfield Town / Manchester United, England. Premier League, Over/Under, 3.50, 2.38, 2.38, 1, 1xbetchina, 40, 367.15, 0, 35, BET_SUCCESS, 2
2017-10-21 14:48:44, Football, Huddersfield Town / Manchester United, England. Premier League, Over/Under, 3.50, 1.89, 1.89, 0, bet888vip, 50, 227.19, 0, 42, BET_SUCCESS, 2
2017-10-21 15:04:15, Football, Akhisar Belediyespor / Genclerbirligi, Turkey. SuperLiga, Over/Under, 6.50, 1.95, 1.95, 1, 1xbetchina, 45, 277.15, 0, 41, BET_SUCCESS, 2
2017-10-21 15:04:22, Football, Akhisar Belediyespor / Genclerbirligi, Turkey. SuperLiga, Over/Under, 6.50, 1.70, 1.94, 0, babibet, 53, 524.57, 0, 38, BET_PARSE_FAIL, 2
