2017-10-21 18:23:16, Football, Botafogo Ribeirao Preto U20 / Desportivo Brasil U20, Championship Brazil U20, Handicap, 0.00, 2.14, 1.27, 1, babibet, 44, 524.57, 0, 22, BET_ODDS_NOT_AVAILABLE, 1
2017-10-21 18:23:28, Football, Botafogo Ribeirao Preto U20 / Desportivo Brasil U20, Championship Brazil U20, Handicap, 0.00, 1.71, 3.80, 0, 1xbetchina, 25, 598.01, 0, 39, BET_SUCCESS, 0
2017-10-21 18:27:39, Football, Angers SCO / Toulouse, France. Ligue 1, Over/Under, 1.50, 1.91, 1.91, 0, babibet, 55, 469.57, 0, 12, BET_SUCCESS, 0
2017-10-21 18:28:22, Football, Angers SCO / Toulouse, France. Ligue 1, Over/Under, 1.50, 2.23, 2.35, 1, 1xbetchina, 45, 743.21, 0, 55, BET_SUCCESS, 2
2017-10-21 18:28:28, Football, Klubi-04 / Viikingit, Finland. Kakkonen, Over/Under, 5.00, 1.97, 1.97, 1, bet888vip, 47, 452.13, 0, 2, BET_SUCCESS, 0
2017-10-21 18:28:33, Football, Klubi-04 / Viikingit, Finland. Kakkonen, Over/Under, 5.00, 2.37, 1.89, 0, babibet, 40, 429.57, 0, 9, BET_SUCCESS, 0
2017-10-21 18:28:44, Football, Al-Ahli Jeddah / Al-Ittihad Jeddah, Saudi Arabia. Saudi Professional League, Over/Under, 3.00, 1.97, 2.38, 0, babibet, 40, 389.57, 0, 8, BET_SUCCESS, 0
2017-10-21 18:28:59, Football, Al-Ahli Jeddah / Al-Ittihad Jeddah, Saudi Arabia. Saudi Professional League, Over/Under, 3.00, 1.89, 1.89, 1, bet888vip, 50, 402.13, 0, 22, BET_SUCCESS, 1
2017-10-21 18:31:11, Football, Vitoria Setubal / Marítimo, Portugal. Portuguese Liga, Over/Under, 2.00, 2.32, 2.31, 0, babibet, 45, 344.57, 0, 9, BET_SUCCESS, 0
2017-10-21 18:31:17, Football, Vitoria Setubal / Marítimo, Portugal. Portuguese Liga, Over/Under, 2.00, 1.94, 1.94, 1, bet888vip, 53, 541.81, 0, 15, BET_ANALYZE_ERROR3, 1
2017-10-21 18:58:30, Football, Barcelona / Malaga, Spain. Primera División, Over/Under, 5.00, 1.82, 2.13, 1, bet888vip, 50, 491.81, 0, 21, BET_SUCCESS, 0
2017-10-21 18:58:54, Football, Barcelona / Malaga, Spain. Primera División, Over/Under, 5.00, 2.06, 2.10, 0, 1xbetchina, 50, 693.21, 0, 47, BET_SUCCESS, 1
2017-10-21 19:15:09, Football, Nantes / En Avant de Guingamp, France. Ligue 1, Over/Under, 2.00, 2.46, 2.40, 0, babibet, 45, 443.97, 0, 53, BET_SUCCESS, 0
2017-10-21 19:16:10, Football, Nantes / En Avant de Guingamp, France. Ligue 1, Over/Under, 2.00, 1.57, 1.60, 1, 1xbetchina, 54, 693.21, 0, 114, BET_VALUE_CHANGED, 4
2017-10-21 19:24:09, Football, Associacao Desportiva Sao Caetano / Esporte Clube XV de Novembro Piracicaba, Brazil. Paulista Cup, Handicap, 0.00, 2.52, 2.52, 1, 1xbetchina, 10, 683.21, 0, 14, BET_SUCCESS, 0
2017-10-21 19:24:11, Football, Associacao Desportiva Sao Caetano / Esporte Clube XV de Novembro Piracicaba, Brazil. Paulista Cup, Handicap, 0.00, 1.50, 1.50, 0, babibet, 76, 443.97, 0, 16, BET_VALUE_CHANGED, 2
2017-10-21 19:28:03, Football, Amiens SC / Girondins de Bordeaux, France. Ligue 1, Over/Under, 1.50, 1.96, 1.95, 0, babibet, 53, 390.97, 0, 10, BET_SUCCESS, 0
2017-10-21 19:28:56, Football, Amiens SC / Girondins de Bordeaux, France. Ligue 1, Over/Under, 1.50, 2.06, 2.06, 1, 1xbetchina, 45, 683.21, 0, 62, BET_VALUE_CHANGED, 4
2017-10-21 19:29:48, Football, Amiens SC / Girondins de Bordeaux, France. Ligue 1, Over/Under, 1.50, 2.06, 2.11, 1, 1xbetchina, 49, 683.21, 0, 43, BET_VALUE_CHANGED, 4
2017-10-21 19:31:54, Football, K. Sint-Truidense / Oostende, Belgium. Jupiler League, Over/Under, 0.50, 1.92, 1.64, 0, babibet, 50, 340.97, 0, 3, BET_SUCCESS, 0
2017-10-21 19:32:08, Football, K. Sint-Truidense / Oostende, Belgium. Jupiler League, Over/Under, 0.50, 2.41, 2.41, 1, 1xbetchina, 40, 683.21, 0, 18, BET_VALUE_CHANGED, 1
