2017-10-22 05:10:16, Football, Canterbury United / Waitakere United, New Zealand. Football Championship, Handicap, 0.00, 1.55, 1.55, 1, babibet, 68, 517.07, 0, 3, Unknown, 0
2017-10-22 05:11:32, Football, Canterbury United / Waitakere United, New Zealand. Football Championship, Handicap, 0.00, 3.52, 3.52, 0, 1xbetchina, 30, 848.37, 0, 84, BET_SUCCESS, 2
2017-10-22 05:17:14, Tennis, Jia Qi Ren / Shanshan Guo, ITF. Liuzhou. Women. Qualification, Handicap, 4.50, 1.72, 1.53, 1, babibet, 46, 517.07, 0, 119, Unknown, 0
2017-10-22 05:17:44, Tennis, Jia Qi Ren / Shanshan Guo, ITF. Liuzhou. Women. Qualification, Handicap, 4.50, 1.94, 2.12, 0, 1xbetchina, 45, 803.37, 0, 156, BET_SUCCESS, 2
2017-10-22 05:18:36, Football, Fagiano Okayama / Thespakusatsu Gunma, Japan. J-League Division 2, Over/Under, 2.00, 2.11, 2.11, 0, babibet, 46, 471.07, 0, 26, BET_SUCCESS, 0
2017-10-22 05:20:47, Football, Fagiano Okayama / Thespakusatsu Gunma, Japan. J-League Division 2, Over/Under, 2.00, 1.77, 1.79, 1, 1xbetchina, 45, 803.37, 0, 156, BET_VALUE_CHANGED, 4
2017-10-22 05:21:49, Football, Gainare Tottori / Gamba Osaka U23, Japan. J3 League, Over/Under, 1.00, 1.96, 1.96, 1, bet888vip, 53, 691.33, 0, 22, BET_VALUE_CHANGED, 0
2017-10-22 05:21:50, Football, Gainare Tottori / Gamba Osaka U23, Japan. J3 League, Over/Under, 1.00, 2.33, 2.33, 0, babibet, 45, 471.07, 0, 22, BET_SUCCESS, 0
2017-10-22 05:33:37, Football, Ural (Youth) / Akhmat (Youth), Russia. Youth League, Over/Under, 5.00, 2.27, 2.27, 0, babibet, 45, 426.07, 0, 13, BET_SUCCESS, 0
2017-10-22 05:34:27, Football, Ural (Youth) / Akhmat (Youth), Russia. Youth League, Over/Under, 5.00, 1.86, 1.98, 1, 1xbetchina, 51, 782.37, 0, 62, BET_SUCCESS, 2
2017-10-22 06:02:05, Tennis, Taro Daniel / Mikhail Youzhny, Challenger. Ningbo, Over/Under, 15.50, 1.81, 1.81, 1, babibet, 40, 386.07, 0, 24, BET_SUCCESS, 1
2017-10-22 06:02:22, Tennis, Taro Daniel / Mikhail Youzhny, Challenger. Ningbo, Over/Under, 15.50, 1.94, 1.97, 0, 1xbetchina, 49, 733.37, 0, 42, BET_SUCCESS, 1
2017-10-22 06:10:00, Football, Fagiano Okayama / Thespakusatsu Gunma, Japan. J-League Division 2, Over/Under, 2.00, 2.41, 2.41, 1, bet888vip, 40, 651.33, 0, 9, BET_SUCCESS, 0
2017-10-22 06:11:50, Football, Brisbane Roar / Newcastle Jets, Australia. A League, Over/Under, 2.50, 2.03, 1.69, 1, bet888vip, 50, 601.33, 0, 23, BET_SUCCESS, 0
2017-10-22 06:13:08, Football, Brisbane Roar / Newcastle Jets, Australia. A League, Over/Under, 2.50, 1.67, 1.70, 0, 1xbetchina, 45, 733.37, 0, 98, BET_VALUE_CHANGED, 4
2017-10-22 06:17:26, Football, Brisbane Roar / Newcastle Jets, Australia. A League, Over/Under, 2.50, 2.11, 2.08, 0, babibet, 48, 338.07, 0, 16, BET_SUCCESS, 0
