2017-10-22 09:47:41, Football, FK Viktoria Zizkov / SC Znojmo, Czech Republic National League, Over/Under, 1.50, 1.57, 1.89, 0, bet888vip, 50, 601.33, 0, 142, BET_GAME_REMOVED, 0
2017-10-22 09:48:46, Football, FK Viktoria Zizkov / SC Znojmo, Czech Republic National League, Over/Under, 1.50, 2.40, 2.40, 1, 1xbetchina, 40, 733.37, 0, 208, BET_UNABLE, 2
2017-10-22 09:56:50, Football, Levadiakos U20 / PAS Giannina U20, Greece Super League U20, Handicap, 0.00, 1.46, 1.46, 0, 1xbetchina, 15, 733.37, 0, 99, BET_GAME_REMOVED, 0
2017-10-22 09:57:04, Football, Levadiakos U20 / PAS Giannina U20, Greece Super League U20, Handicap, 0.00, 2.54, 2.54, 1, bet888vip, 43, 607.98, 0, 112, BET_ANALYZE_ERROR2, 2
2017-10-22 10:01:38, Football, Hermannstadt / Dacia Unirea Braila, Romania Liga 2, Over/Under, 4.00, 1.75, 1.75, 0, 1xbetchina, 45, 733.37, 0, 140, BET_GAME_REMOVED, 0
2017-10-22 10:01:41, Football, Hermannstadt / Dacia Unirea Braila, Romania Liga 2, Over/Under, 4.00, 2.07, 2.07, 1, bet888vip, 47, 560.98, 0, 140, BET_SUCCESS, 0
2017-10-22 10:02:26, Football, Hermannstadt / Dacia Unirea Braila, Romania Liga 2, Over/Under, 4.00, 2.57, 2.56, 0, babibet, 38, 619.68, 0, 21, BET_SUCCESS, 0
2017-10-22 10:04:50, Football, Gornik Zabrze U19 / Slask Wroclaw U19, Poland. Youth League, Handicap, 0.00, 1.70, 3.04, 0, 1xbetchina, 35, 698.37, 0, 23, BET_SUCCESS, 0
2017-10-22 10:04:51, Football, Gornik Zabrze U19 / Slask Wroclaw U19, Poland. Youth League, Handicap, 0.00, 2.16, 2.16, 1, babibet, 49, 619.68, 0, 23, BET_VALUE_CHANGED, 1
2017-10-22 10:07:40, Football, Los Yebenes San Bruno / Internacional de Madrid, Spain. Tercera División, Over/Under, 4.50, 1.69, 2.11, 1, babibet, 46, 573.68, 0, 10, BET_SUCCESS, 0
2017-10-22 10:10:01, Football, Los Yebenes San Bruno / Internacional de Madrid, Spain. Tercera División, Over/Under, 4.50, 1.77, 1.72, 0, 1xbetchina, 45, 698.37, 0, 150, BET_VALUE_CHANGED, 1
2017-10-22 10:19:55, Tennis, Karolina Pliskova (CZE) / Venus Williams (USA), WTA - Singapore Finals, Over/Under, 16.50, 1.80, 1.60, 0, babibet, 55, 573.68, 0, 533, BET_PARSE_FAIL, 2
2017-10-22 10:21:05, Tennis, Karolina Pliskova (CZE) / Venus Williams (USA), WTA - Singapore Finals, Over/Under, 16.50, 2.10, 2.10, 1, 1xbetchina, 35, 698.37, 0, 595, BET_VALUE_CHANGED, 4
2017-10-22 10:21:55, Tennis, Karolina Pliskova (CZE) / Venus Williams (USA), WTA - Singapore Finals, Over/Under, 16.50, 2.20, 1.61, 0, 1xbetchina, 40, 658.37, 0, 32, BET_SUCCESS, 0
2017-10-22 10:22:06, Tennis, Karolina Pliskova (CZE) / Venus Williams (USA), WTA - Singapore Finals, Over/Under, 16.50, 1.61, 2.20, 1, babibet, 45, 573.68, 0, 39, BET_PARSE_FAIL, 2
2017-10-22 10:27:12, Football, Kaisar Kyzylorda / Atyrau, Kazakhstan Premier League, Over/Under, 4.00, 1.98, 1.98, 0, babibet, 48, 573.68, 0, 145, BET_PARSE_FAIL, 1
2017-10-22 10:28:38, Football, Kaisar Kyzylorda / Atyrau, Kazakhstan Premier League, Over/Under, 4.00, 1.71, 1.71, 1, 1xbetchina, 45, 658.37, 0, 235, BET_ANALYZE_ERROR6, 2
2017-10-22 10:29:47, Tennis, Florian Mayer / Marton Fucsovics, ATP. Basel. Qualification, Handicap, 3.50, 2.00, 1.79, 1, babibet, 45, 573.68, 0, 39, BET_PARSE_FAIL, 2
2017-10-22 10:29:47, Tennis, Florian Mayer / Marton Fucsovics, ATP. Basel. Qualification, Handicap, 3.50, 1.78, 2.07, 0, 1xbetchina, 47, 658.37, 0, 40, BET_SUCCESS, 0
2017-10-22 10:31:59, Football, Kaisar Kyzylorda / Atyrau, Kazakhstan Premier League, Over/Under, 3.50, 0.00, 2.28, 0, babibet, 40, 573.68, 0, 37, BET_PARSE_FAIL, 2
2017-10-22 10:32:38, Football, Kaisar Kyzylorda / Atyrau, Kazakhstan Premier League, Over/Under, 3.50, 2.09, 1.60, 1, 1xbetchina, 45, 611.37, 0, 78, BET_ANALYZE_ERROR6, 2
2017-10-22 10:37:58, Football, Caspiy Aktau / Baykonur Kyzylorda, Kazakhstan. 1st Division, Handicap, -0.00, 1.57, 1.57, 1, 1xbetchina, 45, 566.37, 0, 95, BET_SUCCESS, 0
2017-10-22 10:38:14, Football, Caspiy Aktau / Baykonur Kyzylorda, Kazakhstan. 1st Division, Handicap, -0.00, 2.35, 2.35, 0, babibet, 45, 573.68, 0, 109, BET_PARSE_FAIL, 2
2017-10-22 10:42:27, Tennis, Mia Nicole Eklund / Michele Alexandra Zmau, ITF. Hammamet. Women, Handicap, -3.50, 2.80, 2.80, 1, babibet, 35, 573.68, 0, 33, BET_PARSE_FAIL, 1
2017-10-22 10:44:07, Tennis, Mia Nicole Eklund / Michele Alexandra Zmau, ITF. Hammamet. Women, Handicap, -3.50, 1.95, 1.38, 0, 1xbetchina, 46, 520.37, 0, 136, BET_SUCCESS, 0
2017-10-22 10:44:47, Football, Scotland U17 / Andorra U17, UEFA U17 Championship, Handicap, -1.50, 1.90, 1.68, 0, babibet, 49, 573.68, 0, 30, BET_PARSE_FAIL, 2
2017-10-22 10:45:58, Football, Scotland U17 / Andorra U17, UEFA U17 Championship, Handicap, -1.50, 2.27, 2.32, 1, 1xbetchina, 40, 520.37, 0, 102, BET_UNABLE, 2
