2017-10-23 06:39:05, Tennis, Yanni Liu / Jiaxue Zang, ITF Women Liuzhou, Over/Under, 28.50, 0.00, 2.18, 1, babibet, 68, 671.34, 0, 0, Unknown, 0
2017-10-23 06:39:05, Tennis, Yanni Liu / Jiaxue Zang, ITF Women Liuzhou, Over/Under, 28.50, 1.62, 15.00, 0, 1xbetchina, 10, 565.37, 0, 0, Unknown, 0
2017-10-23 06:39:06, Tennis, Yanni Liu / Jiaxue Zang, ITF Women Liuzhou, Over/Under, 28.50, 2.18, 2.18, 1, babibet, 68, 671.34, 0, 0, Unknown, 0
2017-10-23 06:39:09, Tennis, Yanni Liu / Jiaxue Zang, ITF Women Liuzhou, Over/Under, 28.50, 15.00, 15.00, 0, 1xbetchina, 10, 565.37, 0, 2, Unknown, 0
2017-10-23 06:39:09, Tennis, Yanni Liu / Jiaxue Zang, ITF Women Liuzhou, Over/Under, 28.50, 1.62, 15.00, 0, 1xbetchina, 10, 565.37, 0, 0, Unknown, 0
2017-10-23 06:39:09, Tennis, Yanni Liu / Jiaxue Zang, ITF Women Liuzhou, Over/Under, 28.50, 0.00, 2.18, 1, babibet, 68, 671.34, 0, 0, Unknown, 0
2017-10-23 06:39:10, Tennis, Yanni Liu / Jiaxue Zang, ITF Women Liuzhou, Over/Under, 28.50, 0.00, 2.18, 1, babibet, 68, 671.34, 0, 0, Unknown, 0
2017-10-23 06:39:10, Tennis, Yanni Liu / Jiaxue Zang, ITF Women Liuzhou, Over/Under, 28.50, 1.62, 15.00, 0, 1xbetchina, 10, 565.37, 0, 0, Unknown, 0
2017-10-23 06:39:10, Tennis, Yanni Liu / Jiaxue Zang, ITF Women Liuzhou, Over/Under, 28.50, 2.18, 2.18, 1, babibet, 68, 671.34, 0, 0, Unknown, 0
2017-10-23 06:39:14, Tennis, Yanni Liu / Jiaxue Zang, ITF Women Liuzhou, Over/Under, 28.50, 15.00, 15.00, 0, 1xbetchina, 10, 565.37, 0, 1, Unknown, 0
2017-10-23 06:39:14, Tennis, Yanni Liu / Jiaxue Zang, ITF Women Liuzhou, Over/Under, 28.50, 2.18, 2.18, 1, babibet, 68, 671.34, 0, 0, Unknown, 0
2017-10-23 06:39:15, Tennis, Yanni Liu / Jiaxue Zang, ITF Women Liuzhou, Over/Under, 28.50, 15.00, 15.00, 0, 1xbetchina, 10, 565.37, 0, 1, Unknown, 0
2017-10-23 06:39:16, Tennis, Yanni Liu / Jiaxue Zang, ITF Women Liuzhou, Over/Under, 28.50, 0.00, 2.18, 1, babibet, 68, 671.34, 0, 0, Unknown, 0
2017-10-23 06:39:18, Tennis, Yanni Liu / Jiaxue Zang, ITF Women Liuzhou, Over/Under, 28.50, 1.62, 15.00, 0, 1xbetchina, 10, 565.37, 0, 0, Unknown, 0
2017-10-23 06:39:18, Tennis, Yanni Liu / Jiaxue Zang, ITF Women Liuzhou, Over/Under, 28.50, 2.18, 2.18, 1, babibet, 68, 671.34, 0, 0, Unknown, 0
2017-10-23 06:39:22, Tennis, Yanni Liu / Jiaxue Zang, ITF Women Liuzhou, Over/Under, 28.50, 15.00, 15.00, 0, 1xbetchina, 10, 565.37, 0, 3, Unknown, 0
2017-10-23 06:39:23, Tennis, Yanni Liu / Jiaxue Zang, ITF Women Liuzhou, Over/Under, 28.50, 2.18, 2.18, 1, babibet, 68, 671.34, 0, 0, Unknown, 0
2017-10-23 06:39:27, Tennis, Yanni Liu / Jiaxue Zang, ITF Women Liuzhou, Over/Under, 28.50, 15.00, 15.00, 0, 1xbetchina, 10, 565.37, 0, 4, Unknown, 0
2017-10-23 06:39:28, Tennis, Yanni Liu / Jiaxue Zang, ITF Women Liuzhou, Over/Under, 28.50, 0.00, 2.18, 1, babibet, 68, 671.34, 0, 0, Unknown, 0
2017-10-23 06:39:29, Tennis, Yanni Liu / Jiaxue Zang, ITF Women Liuzhou, Over/Under, 28.50, 15.00, 15.00, 0, 1xbetchina, 10, 565.37, 0, 0, Unknown, 0
2017-10-23 06:39:31, Tennis, Yanni Liu / Jiaxue Zang, ITF Women Liuzhou, Over/Under, 28.50, 0.00, 2.18, 1, babibet, 68, 671.34, 0, 0, Unknown, 0
2017-10-23 06:39:31, Tennis, Yanni Liu / Jiaxue Zang, ITF Women Liuzhou, Over/Under, 28.50, 15.00, 15.00, 0, 1xbetchina, 10, 565.37, 0, 1, Unknown, 0
2017-10-23 06:39:32, Tennis, Yanni Liu / Jiaxue Zang, ITF Women Liuzhou, Over/Under, 28.50, 2.18, 2.18, 1, babibet, 68, 671.34, 0, 0, Unknown, 0
2017-10-23 06:39:35, Tennis, Yanni Liu / Jiaxue Zang, ITF Women Liuzhou, Over/Under, 28.50, 15.00, 15.00, 0, 1xbetchina, 10, 565.37, 0, 2, Unknown, 0
