2017-10-23 07:41:07, Football, Bashundhara Kings / Victoria Sporting Club, Bangladesh. Ligue 2, Over/Under, 2.50, 2.07, 2.07, 0, babibet, 47, 671.34, 0, 0, Unknown, 0
2017-10-23 07:41:08, Football, Bashundhara Kings / Victoria Sporting Club, Bangladesh. Ligue 2, Over/Under, 2.50, 1.75, 2.17, 1, 1xbetchina, 45, 565.37, 0, 1, Unknown, 0
2017-10-23 07:41:08, Football, Bashundhara Kings / Victoria Sporting Club, Bangladesh. Ligue 2, Over/Under, 2.50, 1.69, 2.07, 0, babibet, 47, 671.34, 0, 0, Unknown, 0
2017-10-23 07:41:09, Football, Bashundhara Kings / Victoria Sporting Club, Bangladesh. Ligue 2, Over/Under, 2.50, 1.75, 2.17, 1, 1xbetchina, 45, 565.37, 0, 0, Unknown, 0
2017-10-23 07:41:10, Football, Bashundhara Kings / Victoria Sporting Club, Bangladesh. Ligue 2, Over/Under, 2.50, 1.69, 2.07, 0, babibet, 47, 671.34, 0, 0, Unknown, 0
2017-10-23 07:41:10, Football, Bashundhara Kings / Victoria Sporting Club, Bangladesh. Ligue 2, Over/Under, 2.50, 1.75, 2.17, 1, 1xbetchina, 45, 565.37, 0, 1, Unknown, 0
2017-10-23 07:41:11, Football, Bashundhara Kings / Victoria Sporting Club, Bangladesh. Ligue 2, Over/Under, 2.50, 1.75, 2.17, 1, 1xbetchina, 45, 565.37, 0, 0, Unknown, 0
2017-10-23 07:41:11, Football, Bashundhara Kings / Victoria Sporting Club, Bangladesh. Ligue 2, Over/Under, 2.50, 1.69, 2.07, 0, babibet, 47, 671.34, 0, 0, Unknown, 0
2017-10-23 07:41:13, Football, Bashundhara Kings / Victoria Sporting Club, Bangladesh. Ligue 2, Over/Under, 2.50, 2.07, 2.07, 0, babibet, 47, 671.34, 0, 1, Unknown, 0
2017-10-23 07:41:14, Football, Bashundhara Kings / Victoria Sporting Club, Bangladesh. Ligue 2, Over/Under, 2.50, 1.75, 2.17, 1, 1xbetchina, 45, 565.37, 0, 1, Unknown, 0
2017-10-23 07:46:02, Tennis, Antoine Escoffier / Raphael Baltensperger, ATP Challenger - Ho Chi Minh City, Handicap, -3.50, 2.03, 2.03, 0, babibet, 47, 671.34, 0, 0, Unknown, 0
2017-10-23 07:46:09, Tennis, Antoine Escoffier / Raphael Baltensperger, ATP Challenger - Ho Chi Minh City, Handicap, -3.50, 1.75, 2.42, 1, 1xbetchina, 40, 565.37, 0, 0, Unknown, 0
2017-10-23 07:46:09, Tennis, Antoine Escoffier / Raphael Baltensperger, ATP Challenger - Ho Chi Minh City, Handicap, -3.50, 2.03, 2.03, 0, babibet, 47, 671.34, 0, 0, Unknown, 0
2017-10-23 07:46:12, Tennis, Antoine Escoffier / Raphael Baltensperger, ATP Challenger - Ho Chi Minh City, Handicap, -3.50, 1.75, 2.42, 1, 1xbetchina, 40, 565.37, 0, 2, Unknown, 0
2017-10-23 07:46:12, Tennis, Antoine Escoffier / Raphael Baltensperger, ATP Challenger - Ho Chi Minh City, Handicap, -3.50, 1.56, 2.03, 0, babibet, 47, 671.34, 0, 0, Unknown, 0
2017-10-23 07:46:12, Tennis, Antoine Escoffier / Raphael Baltensperger, ATP Challenger - Ho Chi Minh City, Handicap, -3.50, 1.75, 2.42, 1, 1xbetchina, 40, 565.37, 0, 0, Unknown, 0
2017-10-23 07:46:13, Tennis, Antoine Escoffier / Raphael Baltensperger, ATP Challenger - Ho Chi Minh City, Handicap, -3.50, 1.75, 2.42, 1, 1xbetchina, 40, 565.37, 0, 0, Unknown, 0
2017-10-23 07:46:13, Tennis, Antoine Escoffier / Raphael Baltensperger, ATP Challenger - Ho Chi Minh City, Handicap, -3.50, 2.03, 2.03, 0, babibet, 47, 671.34, 0, 0, Unknown, 0
2017-10-23 07:46:14, Tennis, Antoine Escoffier / Raphael Baltensperger, ATP Challenger - Ho Chi Minh City, Handicap, -3.50, 2.03, 2.03, 0, babibet, 47, 671.34, 0, 0, Unknown, 0
2017-10-23 07:46:15, Tennis, Antoine Escoffier / Raphael Baltensperger, ATP Challenger - Ho Chi Minh City, Handicap, -3.50, 1.75, 2.42, 1, 1xbetchina, 40, 565.37, 0, 0, Unknown, 0
2017-10-23 07:46:16, Tennis, Antoine Escoffier / Raphael Baltensperger, ATP Challenger - Ho Chi Minh City, Handicap, -3.50, 1.56, 2.03, 0, babibet, 47, 671.34, 0, 0, Unknown, 0
2017-10-23 07:46:17, Tennis, Antoine Escoffier / Raphael Baltensperger, ATP Challenger - Ho Chi Minh City, Handicap, -3.50, 1.75, 2.42, 1, 1xbetchina, 40, 565.37, 0, 0, Unknown, 0
2017-10-23 07:46:18, Tennis, Antoine Escoffier / Raphael Baltensperger, ATP Challenger - Ho Chi Minh City, Handicap, -3.50, 2.03, 2.03, 0, babibet, 47, 671.34, 0, 0, Unknown, 0
2017-10-23 07:46:19, Tennis, Antoine Escoffier / Raphael Baltensperger, ATP Challenger - Ho Chi Minh City, Handicap, -3.50, 1.75, 2.42, 1, 1xbetchina, 40, 565.37, 0, 1, Unknown, 0
2017-10-23 07:46:20, Tennis, Antoine Escoffier / Raphael Baltensperger, ATP Challenger - Ho Chi Minh City, Handicap, -3.50, 2.03, 2.03, 0, babibet, 47, 671.34, 0, 0, Unknown, 0
2017-10-23 07:46:22, Tennis, Antoine Escoffier / Raphael Baltensperger, ATP Challenger - Ho Chi Minh City, Handicap, -3.50, 1.75, 2.42, 1, 1xbetchina, 40, 565.37, 0, 1, Unknown, 0
2017-10-23 07:46:22, Tennis, Antoine Escoffier / Raphael Baltensperger, ATP Challenger - Ho Chi Minh City, Handicap, -3.50, 2.03, 2.03, 0, babibet, 47, 671.34, 0, 0, Unknown, 0
2017-10-23 07:46:22, Tennis, Antoine Escoffier / Raphael Baltensperger, ATP Challenger - Ho Chi Minh City, Handicap, -3.50, 1.75, 2.42, 1, 1xbetchina, 40, 565.37, 0, 0, Unknown, 0
2017-10-23 07:46:23, Tennis, Antoine Escoffier / Raphael Baltensperger, ATP Challenger - Ho Chi Minh City, Handicap, -3.50, 2.03, 2.03, 0, babibet, 47, 671.34, 0, 0, Unknown, 0
2017-10-23 07:46:24, Tennis, Antoine Escoffier / Raphael Baltensperger, ATP Challenger - Ho Chi Minh City, Handicap, -3.50, 1.75, 2.42, 1, 1xbetchina, 40, 565.37, 0, 1, Unknown, 0
2017-10-23 07:46:25, Tennis, Antoine Escoffier / Raphael Baltensperger, ATP Challenger - Ho Chi Minh City, Handicap, -3.50, 2.03, 2.03, 0, babibet, 47, 671.34, 0, 0, Unknown, 0
2017-10-23 07:46:26, Tennis, Antoine Escoffier / Raphael Baltensperger, ATP Challenger - Ho Chi Minh City, Handicap, -3.50, 1.75, 2.42, 1, 1xbetchina, 40, 565.37, 0, 0, Unknown, 0
2017-10-23 07:46:26, Tennis, Antoine Escoffier / Raphael Baltensperger, ATP Challenger - Ho Chi Minh City, Handicap, -3.50, 2.03, 2.03, 0, babibet, 47, 671.34, 0, 0, Unknown, 0
2017-10-23 07:46:27, Tennis, Antoine Escoffier / Raphael Baltensperger, ATP Challenger - Ho Chi Minh City, Handicap, -3.50, 1.75, 2.42, 1, 1xbetchina, 40, 565.37, 0, 1, Unknown, 0
2017-10-23 07:46:28, Tennis, Antoine Escoffier / Raphael Baltensperger, ATP Challenger - Ho Chi Minh City, Handicap, -3.50, 1.75, 2.42, 1, 1xbetchina, 40, 565.37, 0, 0, Unknown, 0
2017-10-23 07:46:28, Tennis, Antoine Escoffier / Raphael Baltensperger, ATP Challenger - Ho Chi Minh City, Handicap, -3.50, 2.03, 2.03, 0, babibet, 47, 671.34, 0, 0, Unknown, 0
2017-10-23 07:46:28, Tennis, Antoine Escoffier / Raphael Baltensperger, ATP Challenger - Ho Chi Minh City, Handicap, -3.50, 1.56, 2.03, 0, babibet, 47, 671.34, 0, 0, Unknown, 0
2017-10-23 07:46:29, Tennis, Antoine Escoffier / Raphael Baltensperger, ATP Challenger - Ho Chi Minh City, Handicap, -3.50, 1.75, 2.42, 1, 1xbetchina, 40, 565.37, 0, 0, Unknown, 0
2017-10-23 07:46:29, Tennis, Antoine Escoffier / Raphael Baltensperger, ATP Challenger - Ho Chi Minh City, Handicap, -3.50, 2.03, 2.03, 0, babibet, 49, 671.34, 0, 0, Unknown, 0
2017-10-23 07:46:31, Tennis, Antoine Escoffier / Raphael Baltensperger, ATP Challenger - Ho Chi Minh City, Handicap, -3.50, 1.75, 2.53, 1, 1xbetchina, 40, 565.37, 0, 1, Unknown, 0
2017-10-23 07:46:31, Tennis, Antoine Escoffier / Raphael Baltensperger, ATP Challenger - Ho Chi Minh City, Handicap, -3.50, 2.03, 2.03, 0, babibet, 49, 671.34, 0, 0, Unknown, 0
