2017-10-23 07:46:53, Tennis, Antoine Escoffier / Raphael Baltensperger, ATP Challenger - Ho Chi Minh City, Over/Under, 26.50, 2.71, 2.71, 0, babibet, 35, 671.34, 0, 0, Unknown, 0
2017-10-23 07:46:54, Tennis, Antoine Escoffier / Raphael Baltensperger, ATP Challenger - Ho Chi Minh City, Over/Under, 26.50, 1.47, 1.77, 1, 1xbetchina, 53, 565.37, 0, 1, Unknown, 0
2017-10-23 07:46:55, Tennis, Antoine Escoffier / Raphael Baltensperger, ATP Challenger - Ho Chi Minh City, Over/Under, 26.50, 1.77, 1.77, 1, 1xbetchina, 53, 565.37, 0, 0, Unknown, 0
2017-10-23 07:46:55, Tennis, Antoine Escoffier / Raphael Baltensperger, ATP Challenger - Ho Chi Minh City, Over/Under, 26.50, 2.71, 2.71, 0, babibet, 35, 671.34, 0, 0, Unknown, 0
2017-10-23 07:46:56, Tennis, Antoine Escoffier / Raphael Baltensperger, ATP Challenger - Ho Chi Minh City, Over/Under, 26.50, 2.71, 2.71, 0, babibet, 35, 671.34, 0, 0, Unknown, 0
2017-10-23 07:46:57, Tennis, Antoine Escoffier / Raphael Baltensperger, ATP Challenger - Ho Chi Minh City, Over/Under, 26.50, 1.47, 1.77, 1, 1xbetchina, 53, 565.37, 0, 1, Unknown, 0
2017-10-23 07:46:58, Tennis, Antoine Escoffier / Raphael Baltensperger, ATP Challenger - Ho Chi Minh City, Over/Under, 26.50, 2.71, 2.71, 0, babibet, 35, 671.34, 0, 0, Unknown, 0
2017-10-23 07:46:59, Tennis, Antoine Escoffier / Raphael Baltensperger, ATP Challenger - Ho Chi Minh City, Over/Under, 26.50, 1.47, 1.77, 1, 1xbetchina, 53, 565.37, 0, 0, Unknown, 0
2017-10-23 07:46:59, Tennis, Antoine Escoffier / Raphael Baltensperger, ATP Challenger - Ho Chi Minh City, Over/Under, 26.50, 2.71, 2.71, 0, babibet, 35, 671.34, 0, 0, Unknown, 0
2017-10-23 07:47:02, Tennis, Antoine Escoffier / Raphael Baltensperger, ATP Challenger - Ho Chi Minh City, Over/Under, 26.50, 1.47, 1.77, 1, 1xbetchina, 53, 565.37, 0, 2, Unknown, 0
2017-10-23 07:47:03, Tennis, Antoine Escoffier / Raphael Baltensperger, ATP Challenger - Ho Chi Minh City, Over/Under, 26.50, 2.71, 2.71, 0, babibet, 35, 671.34, 0, 0, Unknown, 0
