2017-10-23 08:24:43, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 2.15, 2.15, 0, babibet, 45, 671.34, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:24:45, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 1.69, 2.11, 1, 1xbetchina, 45, 565.37, 0, 2, BET_VALUE_DECREASED, 0
2017-10-23 08:24:46, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 2.15, 2.15, 0, babibet, 45, 671.34, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:24:48, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 1.69, 2.11, 1, 1xbetchina, 45, 565.37, 0, 1, BET_VALUE_DECREASED, 0
2017-10-23 08:24:49, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 2.15, 2.15, 0, babibet, 45, 671.34, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:24:51, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 1.69, 2.11, 1, 1xbetchina, 45, 565.37, 0, 2, BET_VALUE_DECREASED, 0
2017-10-23 08:24:52, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 1.73, 2.15, 0, babibet, 45, 671.34, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:24:53, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 1.69, 2.11, 1, 1xbetchina, 45, 565.37, 0, 1, BET_VALUE_DECREASED, 0
2017-10-23 08:24:54, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 2.15, 2.15, 0, babibet, 45, 671.34, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:24:54, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 1.69, 2.11, 1, 1xbetchina, 45, 565.37, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:24:55, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 1.73, 2.15, 0, babibet, 45, 671.34, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:24:56, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 1.69, 2.11, 1, 1xbetchina, 45, 565.37, 0, 1, BET_VALUE_DECREASED, 0
2017-10-23 08:24:57, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 1.73, 2.15, 0, babibet, 45, 671.34, 0, 0, BET_VALUE_DECREASED, 0
