2017-10-23 08:28:18, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 2.14, 2.14, 0, bet888vip, 50, 560.98, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:28:20, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 1.69, 2.09, 1, 1xbetchina, 51, 565.37, 0, 1, BET_VALUE_DECREASED, 0
2017-10-23 08:28:20, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 2.14, 2.14, 0, bet888vip, 50, 560.98, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:28:22, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 1.69, 2.09, 1, 1xbetchina, 51, 565.37, 0, 1, BET_VALUE_DECREASED, 0
2017-10-23 08:28:23, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 2.14, 2.14, 0, bet888vip, 50, 560.98, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:28:24, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 1.69, 2.09, 1, 1xbetchina, 51, 565.37, 0, 1, BET_VALUE_DECREASED, 0
2017-10-23 08:28:25, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 1.74, 2.14, 0, bet888vip, 50, 560.98, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:28:25, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 1.69, 2.09, 1, 1xbetchina, 51, 565.37, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:28:25, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 1.74, 2.14, 0, bet888vip, 50, 560.98, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:28:27, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 1.69, 2.09, 1, 1xbetchina, 51, 565.37, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:28:27, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 2.14, 2.14, 0, bet888vip, 50, 560.98, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:28:29, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 1.69, 2.09, 1, 1xbetchina, 51, 565.37, 0, 1, BET_VALUE_DECREASED, 0
2017-10-23 08:28:30, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 2.14, 2.14, 0, bet888vip, 50, 560.98, 0, 0, BET_VALUE_DECREASED, 0
