2017-10-23 08:34:32, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 1.63, 2.05, 1, 1xbetchina, 48, 565.37, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:34:33, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 2.23, 2.23, 0, babibet, 45, 671.34, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:34:33, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 2.23, 2.23, 0, babibet, 45, 671.34, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:34:35, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 1.63, 2.05, 1, 1xbetchina, 48, 565.37, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:34:36, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 2.23, 2.23, 0, babibet, 45, 671.34, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:34:37, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 1.63, 2.05, 1, 1xbetchina, 48, 565.37, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:34:37, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 2.23, 2.23, 0, babibet, 45, 671.34, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:34:39, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 1.63, 2.05, 1, 1xbetchina, 48, 565.37, 0, 1, BET_VALUE_DECREASED, 0
2017-10-23 08:34:40, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 2.22, 2.22, 0, babibet, 45, 671.34, 0, 0, BET_VALUE_DECREASED, 0
2017-10-23 08:34:44, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 1.64, 2.05, 1, 1xbetchina, 48, 565.37, 0, 3, BET_VALUE_DECREASED, 0
2017-10-23 08:34:45, Football, Bashundhara Kings / Victoria SC, Bangladesh Championship League, Over/Under, 3.00, 2.22, 2.22, 0, babibet, 45, 671.34, 0, 0, BET_VALUE_DECREASED, 0
