2017-10-24 16:07:36, Tennis, Nam Hoang Ly / Go Soeda, ATP Challenger - Ho Chi Minh City, Over/Under, 17.50, 1.90, 2.52, 1, babibet, 40, 671.34, 0, 0, BET_VALUE_DECREASED, 0
2017-10-24 16:07:36, Tennis, Nam Hoang Ly / Go Soeda, ATP Challenger - Ho Chi Minh City, Over/Under, 17.50, 1.90, 1.90, 0, 1xbetchina, 53, 565.37, 0, 0, BET_VALUE_DECREASED, 0
2017-10-24 16:07:38, Tennis, Nam Hoang Ly / Go Soeda, ATP Challenger - Ho Chi Minh City, Over/Under, 17.50, 1.90, 2.52, 1, babibet, 40, 671.34, 0, 1, BET_VALUE_DECREASED, 0
2017-10-24 16:07:39, Tennis, Nam Hoang Ly / Go Soeda, ATP Challenger - Ho Chi Minh City, Over/Under, 17.50, 1.90, 1.90, 0, 1xbetchina, 53, 565.37, 0, 1, BET_VALUE_DECREASED, 0
2017-10-24 16:07:41, Tennis, Nam Hoang Ly / Go Soeda, ATP Challenger - Ho Chi Minh City, Over/Under, 17.50, 1.85, 2.52, 1, babibet, 40, 671.34, 0, 0, BET_VALUE_DECREASED, 0
2017-10-24 16:07:41, Tennis, Nam Hoang Ly / Go Soeda, ATP Challenger - Ho Chi Minh City, Over/Under, 17.50, 1.96, 1.96, 0, 1xbetchina, 51, 565.37, 0, 1, BET_VALUE_DECREASED, 0
2017-10-24 16:07:41, Tennis, Nam Hoang Ly / Go Soeda, ATP Challenger - Ho Chi Minh City, Over/Under, 17.50, 1.52, 1.96, 0, 1xbetchina, 51, 565.37, 0, 0, BET_VALUE_DECREASED, 0
2017-10-24 16:07:42, Tennis, Nam Hoang Ly / Go Soeda, ATP Challenger - Ho Chi Minh City, Over/Under, 17.50, 1.85, 2.52, 1, babibet, 40, 671.34, 0, 0, BET_VALUE_DECREASED, 0
2017-10-24 16:07:42, Tennis, Nam Hoang Ly / Go Soeda, ATP Challenger - Ho Chi Minh City, Over/Under, 17.50, 1.96, 1.96, 0, 1xbetchina, 51, 565.37, 0, 0, BET_VALUE_DECREASED, 0
2017-10-24 16:07:44, Tennis, Nam Hoang Ly / Go Soeda, ATP Challenger - Ho Chi Minh City, Over/Under, 17.50, 1.85, 2.52, 1, babibet, 40, 671.34, 0, 1, BET_VALUE_DECREASED, 0
2017-10-24 16:07:45, Tennis, Nam Hoang Ly / Go Soeda, ATP Challenger - Ho Chi Minh City, Over/Under, 17.50, 1.85, 2.52, 1, babibet, 40, 671.34, 0, 0, BET_VALUE_DECREASED, 0
